provider,OeMnemonic,ProviderMnemonic,indicator_id,indicator_name,haver_description,haver_long_source,haver_discontinued,date,value
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2022,2982.281
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2023,3188.708
imf-datamapper,,A273GPP@IMFWEO,PPPGDP,"GDP, current prices",Mexico: GDP Based on PPP Valuation of Country GDP[Apr 2025](Bil.CID),International Monetary Fund,False,2024,3312.004
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1990,3098000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1991,3030000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1992,3700000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1993,3979000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1994,4121819824
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1995,4368120000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1996,4949000000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1997,5545800000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1998,6501246000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,1999,6648625182
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2000,7524742980
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2001,10146263000
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2002,11029448100
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2003,16653686411
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2004,19861747959
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2005,22741840918
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2006,26542811527
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2007,27516981140
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2008,27081720166
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2009,22893127980
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2010,22767716708
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2011,24190034859
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2012,24056599208
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2013,23976098088
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2014,25556643773
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2015,26824907167
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2016,29328819630
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2017,32922876924
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2018,36526305945
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2019,39833517538
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2020,43977653965
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2021,55067029560
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2022,61457717975
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2023,66237847600
worldbank,,B273WRRV@WDI,BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)","Personal Remittances, Received",World Bank,False,2024,67637913797
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-01-01,641.73
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-02-01,640.1
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-03-01,606.3
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-04-01,600.5
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-05-01,607.8
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-06-01,600.06
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-07-01,590.82
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-08-01,594.57
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-09-01,589.07
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-10-01,584.17
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-11-01,581.39
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1994-12-01,505.85
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-01-01,355.88
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-02-01,352.68
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-03-01,292.74
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-04-01,315.94
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-05-01,329.91
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-06-01,316.03
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-07-01,322.1
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-08-01,320.82
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-09-01,316.89
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-10-01,295.94
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-11-01,259.78
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1995-12-01,260.59
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1996-01-01,269.33
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1996-02-01,267.45
bis-sdmx,,B273XNB@BIS,WS_EER/M.N.B.MX,Mexico - Nominal - Broad (64 economies),"Nominal Effective Exchange Rate (Broad, 64 economies)",Bank for International Settlements,False,1996-03-01,265.8
